EventId,EventTemplate,Occurrences
4e83d0d5,Ignoring supplied device name: dev vdb,676
0b802ad2,"The support for the Cinder API v2 is deprecated, please upgrade to Cinder API v3.",5288
316ed4a1,Volume info retrieved successfully.,4141
7f725b07,POST <*> v2 <*> volumes <*> action,2069
adec6d2e,Reserve volume completed successfully.,415
0e88f807,<*> v2 <*> volumes <*> action returned with HTTP <*>,2069
0fdaaed4,Assertion results: <*>,872
f680c053,Failure!!!,198
0391cce4,Check SSH connection for instance <*> <*> reboot),1350
55527c61,SSH connection for instance <*> result => <*>,3981
038e2e65,Reboot instance <*>,676
b357cd9d,openstack server reboot --hard <*>,1348
0890241f,Rebooting instance,674
479432d5,Instance destroyed successfully.,1372
116e2d3d,Successfully unplugged vif <*>,1409
89727491,) removed,3470
ce52fea1,Instance rebooted successfully.,651
900df09f,Received unexpected event <*> for instance,1889
7dd5b09a,Start resources cleanup,674
130401c3,openstack ip floating delete <*>,1348
4e520e56,"<*> """"DELETE v2.0 <*> <*> HTTP 1.1"""" status: 204 len: 173 time: <*>",4094
bc0e4934,"""This command has been deprecated. Please use """"floating ip delete"""" instead.""",674
1d97a347,Port <*> not present in bridge br-int,1488
5c6a69b1,Remove device filter for,2612
393df78b,port_unbound(): net_uuid None not managed by VLAN manager,2618
ce020eaa,Removed floating ip <*>,674
e0e97934,nova list --all-tenant,1346
c895ebf6,"<*> """"DELETE <*> <*> <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",1761
ce0cacf4,Terminating instance,699
d3a31b11,Cleaned tempest created <*> <*>,2022
cd5c5a9d,openstack image list,1348
ad13cf03,Deleting instance files var lib nova instances <*>,695
2b100fa5,Deletion of var lib nova instances <*> complete,722
36893f37,Took <*> seconds to deallocate network for instance.,718
f640218d,Terminate volume connection completed successfully.,826
12e244f2,Unreserve volume completed successfully.,1
756f5c03,"Volume detach called, but volume not attached.",1
db8b66f4,Detach volume completed successfully.,825
e111acd7,Took <*> seconds to detach <*> volumes for instance.,638
77ecefbc,"<*> """"DELETE placement allocations <*> status: <*> len: <*> microversion: 1.0""",740
597630e5,Deleted allocation for instance <*>,731
43f4b51d,"""""""DELETE v2 images <*> HTTP 1.1"""" 204 213 <*>",674
76360587,cinder list --all-tenant,1348
68c0c87c,VM Di arresto (Lifecycle Event),671
772da746,DELETE <*> v3 <*> volumes <*>,415
eb724a68,Delete volume <*> <*> <*>,828
80d16f7b,Clean tempest created routers and networks...,674
2269fe8d,openstack router unset --external-gateway <*>,1348
3b166ddc,Skipping remove_export. No iscsi_target is presently exported for volume: <*>,413
83c0c88e,Successfully deleted volume: <*>,413
cc7873a9,Deleted volume successfully.,413
2570d89e,openstack port list <*> <*> --format=value -c ID,2696
c3f3f7c3,Removed port <*> on router <*>,674
177752f4,Removed router <*>,674
f072bdd2,openstack port delete <*>,1384
d1b73e49,Removed port <*>,692
cb2a6046,Reclaiming vlan = <*> from net-id = <*>,786
dd41f500,Synchronizing state,850
e1b327f0,All active networks have been fetched through RPC.,849
8c9bc2e3,Starting network <*> dhcp configuration,900
76f11b3f,Finished network <*> dhcp configuration,812
068b89c2,Synchronizing state complete,850
07875cdc,Removed network <*>,674
1278f398,Removed security group <*>,674
6bad77c0,openstack keypair delete <*>,1348
f83cb39a,Removed keypair <*>,674
28dd7d1f,openstack user delete <*>,1348
b32372ee,DELETE <*> v3 <*> <*>,2022
bf5b166b,Removed user <*>,674
427b131c,openstack project delete <*>,1348
3d94c8f8,Removed project <*>,674
976f424e,openstack domain set --disable <*>,1348
b740c466,PATCH <*> v3 domains <*>,674
32c0c23a,Disabled domain <*>,674
6d00d604,openstack domain delete <*>,1348
7b174bb9,Removed domain <*>,674
3c37ed53,End resources cleanup,674
dd21fd0b,openstack router <*> <*> tempest-router-1529986094 <*>,4
6520f3cf,"Total disco: 143 GB, used: <*> GB",591
41675ff6,privsep process running with capabilities (eff prm inh): <*> <*> none,353
5df6b32b,tempest-INSTANCE_SAMPLE-1529986094 instance <*> <*>,4
854a8ac3,Attaching volume <*> to dev vdb,673
242747a4,Trying to connect to iSCSI portal <*>,1304
0d9e688f,Neutron deleted interface <*> detaching it from the instance and deleting it from the info cache,479
72845850,"Detach interface failed, <*> reason: Impossibile trovare l'istanza <*> InstanceNotFound: Impossibile trovare l'istanza <*>",462
20642cf5,GET 10.0.20.46:35357,2032
68d3f476,"<*> """"GET placement resource_providers <*> <*> status: 200 len: <*> microversion: <*>",41477
74ecaf6b,openstack router add subnet <*> <*>,1742
eae8f96d,"""10.0.20.46 """"GET <*> <*> <*> status: 200 len: <*> <*> <*>",754
7489efd1,<*> instance is ACTIVE...great!,1334
c03dad2d,Info cache is <*> during associate with no nw_info cache,100
c9043c44,HTTP exception thrown: Instance network is not ready yet,100
40206f48,Instance network is not ready yet (HTTP 400) (Request-ID: <*>,100
06821c0d,Couldn't find <*> <*> because iscsiadm err: iscsiadm: No <*> <*>,1120
cb5098cb,openstack router remove port <*> <*>,1344
1796d0bf,Running instance usage audit for host localhost.localdomain from <*> <*> to <*> <*> <*> instances.,133
78399198,<*> instance ssh successfully...great!,1297
1a9b335e,Device <*> not defined on plugin or binding failed,10
d41d8cd9,,211
05401b4f,"Could not clean up failed build, not rescheduling. Error: 'dns'",1
6d765f31,HTTP exception thrown: Non sono state rilevate istanze per alcun evento,64
fd8f1a5e,api_servers with fully qualified url including scheme (http https): BuildAbortException: La build dell'istanza f69134e5-3d6a-4409-8fb1-a1a67f23f911 \xe8 stata interrotta: 'dns',1
67785a83,GET 10.0.20.21:35357,1228
02525647,Error launching a defined domain with XML: <domain type='qemu'>,1
319130ea,Failed to start libvirt guest: libvirtError: Cannot access storage file ' dev sdd': File o directory non esistente,1
58591b5c,Cannot reboot instance: Cannot access storage file ' dev sdd': File o directory non esistente: libvirtError: Cannot access storage file ' dev sdd': File o directory non esistente,1
d82eb6c4,Successfully reverted task state from <*> on failure for instance.,35
02e5bdf8,""", e, sys.exc_info()) File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 220, in __exit__ self.force_reraise() File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 196, in force_reraise six.reraise(self.type_, self.value, self.tb) File """" usr lib python2.7 site-packages nova compute manager.py"""", line 206, in decorated_function return function(self, context, *args, **kwargs) File """" usr lib python2.7 site-packages nova compute manager.py"""", line 3149, in reboot_instance self._set_instance_obj_error_state(context, instance) File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 220, in __exit__ self.force_reraise() File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 196, in force_reraise six.reraise(self.type_, self.value, self.tb) File """" usr lib python2.7 site-packages nova compute manager.py"""", line 3124, in reboot_instance bad_volumes_callback=bad_volumes_callback) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 1396, in reboot return self._hard_reboot(context, instance, network_info, block_device_info) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 1435, in _hard_reboot self._create_domain_and_network(context, xml, instance, network_info, block_device_info=block_device_info, vifs_already_plugged=True) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 3078, in _create_domain_and_network self._cleanup_failed_start(context, instance, network_info, block_device_info, guest, destroy_disks_on_failure) File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 220, in __exit__ self.force_reraise() File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 196, in force_reraise six.reraise(self.type_, self.value, self.tb) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 3065, in _create_domain_and_network guest = self._create_domain(xml, pause=pause, power_on=power_on, post_xml_callback=post_xml_callback) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 3021, in _create_domain guest.launch(pause=pause) File """" usr lib python2.7 site-packages nova virt libvirt guest.py"""", line 144, in launch self._encoded_xml, errors='ignore') File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 220, in __exit__ self.force_reraise() File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 196, in force_reraise six.reraise(self.type_, self.value, self.tb) File """" usr lib python2.7 site-packages nova virt libvirt guest.py"""", line 139, in launch return self._domain.createWithFlags(flags) File """" usr lib python2.7 site-packages eventlet tpool.py"""", line 186, in doit result = proxy_call(self._autowrap, f, *args, **kwargs) File """" usr lib python2.7 site-packages eventlet tpool.py"""", line 144, in proxy_call rv = execute(f, *args, **kwargs) File """" usr lib python2.7 site-packages eventlet tpool.py"""", line 125, in execute six.reraise(c, e, tb) File """" usr lib python2.7 site-packages eventlet tpool.py"""", line 83, in tworker rv = meth(*args, **kwargs) File """" usr lib64 python2.7 site-packages libvirt.py"""", line 1099, in createWithFlags if ret == -1: raise libvirtError ('virDomainCreateWithFlags() failed', dom=self) libvirtError: Cannot access storage file ' dev sdd': File o directory non esistente None""",1
9fefacad,"""10.0.20.21 """"GET <*> <*> <*> status: 200 len: <*> <*> <*>",560
a987a892,api_servers with fully qualified url including scheme (http https): BuildAbortException: La build dell'istanza <*> \xe8 stata interrotta: Errore durante l'esecuzione preparatoria del dispositivo di blocco.,11
027e371b,""", req, id) File """" usr lib python2.7 site-packages nova api openstack compute servers.py"""", line 685, in _delete self.compute_api.delete(context, instance) File """" usr lib python2.7 site-packages nova compute api.py"""", line 228, in inner return function(self, context, instance, *args, **kwargs) File """" usr lib python2.7 site-packages nova compute api.py"""", line 236, in _wrapped return fn(self, context, instance, *args, **kwargs) File """" usr lib python2.7 site-packages nova compute api.py"""", line 188, in inner return f(self, context, instance, *args, **kw) File """" usr lib python2.7 site-packages nova compute api.py"""", line 1234, in delete self._delete_instance(pycc_corrupt(context), instance) File """" usr lib python2.7 site-packages nova compute api.py"""", line 1224, in _delete_instance self._delete(context, instance, 'delete', self._do_delete, task_state=task_states.DELETING) File """" usr lib python2.7 site-packages nova compute api.py"""", line 1052, in _delete bdms = objects.BlockDeviceMappingList.get_by_instance_uuid(context, instance.uuid) File """" usr lib python2.7 site-packages oslo_versionedobjects base.py"""", line 184, in wrapper result = fn(cls, context, *args, **kwargs) File """" usr lib python2.7 site-packages nova objects block_device.py"""", line 361, in get_by_instance_uuid context, instance_uuid, use_slave=use_slave) File """" usr lib python2.7 site-packages nova db sqlalchemy api.py"""", line 234, in wrapper with reader_mode.using(context): File """" usr lib64 python2.7 contextlib.py"""", line 17, in __enter__ return self.gen.next() File """" usr lib python2.7 site-packages oslo_db sqlalchemy enginefacade.py"""", line 996, in _transaction_scope _transaction_contexts_by_thread(context) File """" usr lib python2.7 site-packages oslo_db sqlalchemy enginefacade.py"""", line 1080, in _transaction_contexts_by_thread context._enginefacade_context = _TransactionContextTLocal() AttributeError: 'NoneType' object has no attribute '_enginefacade_context' None""",1
6cf7612f,"HTTP exception thrown: Errore API non previsto. Segnalarlo a bugs.launchpad.net nova e allegare il log Nova API, se possibile.",108
ad6558af,The instance sync for host 'localhost.localdomain' did not match. Re-created its InstanceList.,132
121ea934,Port <*> has lost its vlan tag '3'!,6
deae1398,GET 10.0.20.22:35357,1343
8ab90fa9,"""10.0.20.22 """"GET <*> <*> <*> status: 200 len: <*> <*> <*>",647
eea5e352,""", e, sys.exc_info()) File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 220, in __exit__ self.force_reraise() File """" usr lib python2.7 site-packages oslo_utils excutils.py"""", line 196, in force_reraise six.reraise(self.type_, self.value, self.tb) File """" usr lib python2.7 site-packages nova compute manager.py"""", line 239, in decorated_function return function(self, context, *args, **kwargs) File """" usr lib python2.7 site-packages nova compute manager.py"""", line 1811, in reboot_instance compute_utils.notify_about_instance_action(pycc_corrupt(context), instance, self.host, action=fields.NotificationAction.REBOOT, phase=fields.NotificationPhase.START) File """" usr lib python2.7 site-packages nova rpc.py"""", line 225, in wrapped return f(*args, **kwargs) File """" usr lib python2.7 site-packages nova compute utils.py"""", line 376, in notify_about_instance_action notification.emit(context) File """" usr lib python2.7 site-packages nova rpc.py"""", line 225, in wrapped return f(*args, **kwargs) File """" usr lib python2.7 site-packages nova notifications objects base.py"""", line 194, in emit payload=self.payload.obj_to_primitive()) File """" usr lib python2.7 site-packages nova notifications objects base.py"""", line 176, in _emit notify(context, event_type=event_type, payload=payload) File """" usr lib python2.7 site-packages oslo_messaging notify notifier.py"""", line 359, in info self._notify(ctxt, event_type, payload, 'INFO') File """" usr lib python2.7 site-packages oslo_messaging notify notifier.py"""", line 448, in _notify super(_SubNotifier, self)._notify(ctxt, event_type, payload, priority) File """" usr lib python2.7 site-packages oslo_messaging notify notifier.py"""", line 299, in _notify ctxt = self._serializer.serialize_context(ctxt) File """" usr lib python2.7 site-packages nova rpc.py"""", line 138, in serialize_context return context.to_dict() AttributeError: 'NoneType' object has no attribute 'to_dict' None""",1
090149fe,KeyError: 'device_path' None,2
cc816e31,GET 10.0.20.23:35357,1106
5d0b8dd4,"""10.0.20.23 """"GET <*> <*> <*> status: 200 len: <*> <*> <*>",532
879ea5bb,"Too many open files',)) None",36
cbdab817,Function 'nova.servicegroup.drivers.db.DbDriver._report_state' run outlasted interval by <*> sec,39
072292e8,"""Exception during message handling: ImportError: No module named _strptime Traceback (most recent call last): File """" usr lib python2.7 site-packages oslo_messaging rpc server.py"""", line 160, in _process_incoming File """" usr lib python2.7 site-packages oslo_messaging rpc dispatcher.py"""", line 213, in dispatch File """" usr lib python2.7 site-packages oslo_messaging rpc dispatcher.py"""", line 178, in _do_dispatch File """" usr lib python2.7 site-packages nova rpc.py"""", line 168, in deserialize_context File """" usr lib python2.7 site-packages nova rpc.py"""", line 141, in deserialize_context File """" usr lib python2.7 site-packages nova context.py"""", line 232, in from_dict File """" usr lib python2.7 site-packages oslo_context context.py"""", line 382, in from_dict File """" usr lib python2.7 site-packages nova context.py"""", line 116, in __init__ File """" usr lib python2.7 site-packages oslo_utils timeutils.py"""", line 97, in parse_strtime ImportError: No module named _strptime None""",2
7a899844,"The support for the Cinder API v2 is deprecated, please upgrade to Cinder API v3.: Exception",8
fa83b19b,""", encryption=encryption) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 741, in attach_volume self._connect_volume(connection_info, disk_info, instance) File """" usr lib python2.7 site-packages nova virt libvirt driver.py"""", line 693, in _connect_volume raise Exception Exception None""",1
daff47bf,Cannot reboot instance: : Exception,6
